,verbatim_text
780,Not a fan of contactless ordering.
781,N/A.
782,"I miss the snacks, but my waistline does not. <:-D>."
783,My husband did not get his kosher meal. I did. we were listed on the same itinerary.
784,"My main issue is that on a 5 hour long flight in economy I feel you should get a main meal as part of the fare. You do, say, in Australia. I feel its penny pinching to not to this. However on one of my flights I ordered the taco box and it was nice."
785,Could be better like a sandwich at least for a long flight like that.
786,"We have a problem on planet Earth with too much plastic use, manufacture & pollution. I feel you are NOT doing anything to reduce plastic use. Every drink is served in a plastic cup and discarded. And what about all of those small 6-7 oz. plastic bottles. Please use biodegradable bamboo or paper cups and large refillable containers of water for distribution into cups. Thank you."
787,No.
788,Not many options for snacks.
789,Bring back separate dessert in economy - the mini ice creams.
790,Not right now.
791,the flight attendants do the best they can so i commend them on both flights we were delayed going out 5 hrs due to storm they should have offered light drinks and snacks after 2 hours.
792,I was surprised at the quantity and quality of the takeoff food box.
793,I am allergic to peanuts and all tree nuts. You should have a meal option for that.
794,We were first class. there was not a hot meal offered which was disappointing.
795,Meal was piping hot.
796,no.
797,No.
798,No sabia si era gratis o había q pagarla.
799,It was airplane food. LOL.
800,Bring back snack boxes.
801,It was great.
802,Not at this time.
803,The oatmeal breakfast option is especially good.
804,It is confusing on how you are supposed to order food and beverage if wishing to purchase. As for the complimentary it would be nice if they had a card so you know ahead of time with the flight attendants have to offer they only have so much time and they have a lot of people to serve so it would be easier than having to ask or them having to list everything. It would also be nice to have a bigger variety of snack options offered not everyone can eat cookies and pretzels.
805,"most of it was fairly bland, on the flight over from LAX to London, not as i recall offered any options, as i was in the back of the plane, may have run out of what i would have liked more than what i had."
806,Very limited vegetarian options No alcohol free beer.
807,"4 hour flight, one drink?. I think we should get 2."
808,United needs to improve the meals that is served.
809,It is always a little uncertain if you can get a coffee or snack.
810,I enjoyed the food. the chicken entree was really too salty.
811,Nope.
812,No.
813,Would like enjoy a refill.
814,"In general terms and for airplane food and drinks it is acceptable, but in the case of snacks it is very little and without variety..."
815,"It would have been nice if a snack or snacks were offered, e.g., pretzels, cookies, nuts."
816,No.
817,I wish the flight offer snack like the other airline does.
818,Add a fresh non-dairy creamer as an option for the coffee.
819,I was unable to make any purchases since I could not get the app.
820,Seemed to be the same two options in First that I have had in the past.
821,No.
822,was only water offered.
823,A small snack would have been nice.
824,"This was a short flight so there was not a real beverage service, but I did appreciate that they came around with water/juice since sometimes air travel gets very dry, or you anticipate something to drink on board, so the fact they were able to do this on the short flight was appreciated."
825,"For the flight from Newark to Providenciales there were only snacks, meals or more elaborated snacks would have been nice."
826,My salad shaker was served to me frozen...
827,The fruit had no taste. you do not offer bread or pastries like other airlines.
828,"only received a survey for the final leg of my trip, the dinner I had on the previous section was overall good but the main dish (chicken something), the chicken was quite dry and the dish itself was not particularly good. I did not finish it. I am not a picky eater and hate wasting food."
829,the chicken salad shakeup was a pleasant surprise.
830,None.
831,The flight attendant forgot me.
832,"I have an allergy to onions. In the past trip to Europe, I was given options."
833,"You ran out of the pasta dish very quickly. I was not happy about it. When people order the tickets online, take a survey with the different dinner options and let them choose which one they want to have."
834,"The flight attendant did not offer much explanation of the choices. She just said ""chicken or pasta"". I normally prefer chicken, but would have appreciated a little more description like ""butter chicken"" or ""chicken curry"". (I am not sure what exactly it was, even after receiving it.)."
835,"We felt the dinners provided were very good. We went out to dinner. my husband had the same meal as on the plane. He felt the plane meal was much better,."
836,The breakfast was pretty good we also had yogurt with the breakfast and fresh fruit. The fruit was very good nice and fresh!.
837,"Tried to buy more snack options, but lots of items listed were not available on that particular plane, and the ones that were were out of stock."
838,Tomato juice is my choice.
839,Should have provided at least a bottle of water.
840,"pretty meager offerings, out of beverage choices."
841,All good.
842,Online pre-order info to the attendants was confusing or not available.
843,na.
844,The chicken dish is good but seems to be served almost all the time on the cross-country flights I take. It is getting tiresome and it is time for some additional options.
845,Please add herbal teas to selection of beverages.
846,No.
847,It was a late flight leaving Maui and by time we got our food it was very late.
848,No Chardonnay!!!. Gotta have Pinot Grigio or Chardonnay.
849,No.
850,"United needs to change up their snack offering, 2 choices are fine. You should try to make your snacks more exciting."
851,"In First Class, please return to the practice of offering a drink (any drink) before takeoff. Typically no drink is offered other than a glass of water."
852,I did not see ahead of time what was available for purchase on the flight.
853,There is not cofee on the morning!!!.
854,The flight was long. The ticket very expensive. So to have to purchase food other than the cookies was a lot.
855,Would have liked a second beverage service like they did on the flight from Chicago to Seattle.
856,Not really due to short trip.
857,Its a short flight and usually has turbulence. But offering instead of expecting passengers to ask is always better.
858,Know.
859,None-too short a flight.
860,More options.
861,"First class meal was stated on the United booking site as Dinner. Pre-packaged cheese, little bags with nuts, fruit, dry cookie were not a dinner. There was no other choice."
862,Not.
863,You really need to provide gluten free/coeliac/wheat allergy/intolerance meal options. These are really not uncommon.
864,The Cheese Burger on arrival was slightly scary - very dry. had some strange bacon pieces on top the ketchup and mustard helped the partial coonsumption.
865,I loved the Thai green curry chicken that we were served for lunch!.
866,No everything was just fine. It was the outgoing flight where we had the problem.
867,No.
868,Would have liked a diet 7up or Sprite. Thank you for recycling cans!.
869,Would have liked a selection of snacks. Only had pretzels and the bag was tiny.
870,N/A.
871,My entree was way too spicy. I noticed the gentleman next to me did not eat his either. Considering the meatballs were meatless there was not much to choose from. Would like to be able to have some choice of condiments.
872,none.
873,There was no free snack offered. It is usually a small item. on this flight there was nothing given out.
874,Water could be offered more often on long flights.
875,"Food options better on London to SF than from SF to London. Ice cream - would have liked choice of flavors, but it was much better than the frozen icecream I had on my outbound flight."
876,Middle snack was a lump of cheese and some crackers but no knife or easy way to cut.
877,No.
878,No.
879,No.
880,"All was great.. prefer Merlot, but any Red is better than no red.."
881,more choice.
882,Brioche burger was oily and greasy.
883,I would like to have a Sauvignon Blanc option for wine!.
884,Too many plastic bags for all the food. Quite uncomfortable to consume with all the little bags to open and dispose etc. Not very friendly to the environment. Maybe consider a cardboard/paper tray with all the selections and a single plastic wrap?.
885,Would be nice to see an upgrade to the white wine. Barely a step up from the limited airline selection.
886,The snack was a hot Turkey & cheese sandwich - it was fine. The food on way to Paris was awful.
887,This is the first time that the food (in 1st class) was not particularly tasty. Surprised by that.
888,The flight attendants were great.
889,A free snack should be provided with the beverage.
890,Not sure why but there were no pretzels or small free snacks.
891,The fish I had was terrific.
892,Be nice if you changed up the snacks every once in a while.
893,My food could have been hotter for lunch. The afternoon beef burger was perfect and really tastey!.
894,I do think presentation could be a bit better. I liked that there were 4 options. Salads were a bit sad looking. A better dessert for lunch before landing would be nice. Even a piece of chocolate- pre wrapped muffin was not good and just looked cheap on the plate.
895,The beers are most often not very cold.
896,The best part of the service was the hostesses cheerfulness as she served.
897,The taste looks different.
898,Service was great. The food was terrible.
899,"They said to short of a flight, still should have offered beverages."
900,Wish there were specified gluten free options.
901,Has United discontinued it is free snacks with the beverages?. I was expecting that. nothing was offered.
902,No.
903,Everything was excellent.
904,Well done.
905,"No IPA, alright. Moved to spirits. Piece of dental floss, used, in tiny crevice below drink tray. Removed with alcohol swipey. /cs."
906,Very basic and somewhat boring.
907,There was no menu. I asked the attendants about the food and they did not have answers. Can you bring the menus back?. I have food allergies. I like to read the offering so I can choose appropriately. Thanks.
908,None.
909,Nothing.
910,Can we bring Tito's back?.
911,Got no snacks.
912,You need to find something other than those snack boxes. They have run their course.
913,"Noticed that flight attendant only offered 1 glass of beverage choice to each person she served, then poured all the opened partial cans together to dispose of additional liquid into an empty water container. It seems more logical to offer each party served the beverage can after it has been opened and served to limit so much waste."
914,"My problem here was I was never notified to pre-order my meal. I tried several times to log on and I got on the app to pre-order, but could not get it. Our first flight I received an email with a link. Return flight, never received anything. So by the time we were on the plane there was only 2 options left, neither was very exciting. Thank you for listening."
915,Need a larger selection of bourbon.
916,No.
917,The chicken dish which I had on my flight to Denver was too spicy. the other choices were inadequate.
918,"I got instant coffee when I asked for decaf. If I had known that, I would have gotten something else. Also, the cookies were delicious but it was a small package."
919,I slept. My issues were with the international leg.
920,Allow more than one drink per person at a time. This is the only airline I know of that does this.
921,"Could have served on a 2 hrs plus flight that was delayed by 2.30 hrs,."
922,Taste is good.
923,I would Like the entire bottle of water and not just a tiny cup.
924,For a 6.5 hour flight it would be nice if there was other smaller snack options that followed the main meal service. Once we were served the breakfast that was it for snacks or food whereas some other airlines come around again with a snack basket or toasted nuts etc.
925,No. I had water.
926,"If you are going to send out an email saying you can pre-order food five days to 1 day before departure, make it available. every time I looked it was unavailable. So it was like a bad joke."
927,only offered water - 57 minute flight.
928,A few healthier snacks.
929,Too expensive. How about fruit or sandwich or something.
930,The breakfast options and the overall presentation for a business class ticket at this price were completely unacceptable. You can do better!.
931,Coffee cold.
932,Is it not possible to offer nuts because of people's allergies?. I miss peanuts or something savory other than pretzels.
933,Ice cream was melted like water (was clearly did not follow the cold chain) Breakfast was only a small snack.
934,Snack size of pretzels was very small. Only 2 snack choices.
935,"Presentation of wines was very good, but please upgrade the quality of the sparkling wines offered. Of late they have been sweet and not very effervescent. I wish you would offer something like Emirates does in business class such as Veuve Cliquot. The staff does the best they can given the choices."
936,No.
937,Nothing is served .
938,Start serving drinks early.
939,I had a infant in lap ticket for my toddler. She is 1 year and 11 months so it would have been nice to have some sort of baby food option like plain white rice. I was satisfied with my special vegetarian meal. Thank you!.
940,The Thai veggie curry was delicious.
941,no.
942,I am fine.
943,"The option to pre-order a meal is fantastic. The desert options need to be more than a small round brownie or cookie. You need to bring back cheesecake or ice cream as an option, or a desert that is more seasonal in nature."
944,it was good.
945,"I did not know what to expect with ""complimentary"" food and beverages. From Chicago only beverages were offered (size plane?). , From Orlando, larger plane or time of day, I was offer beverage and snack."
946,short flight expected little food and beverage and that is what i got.
947,the z'atar chicken was the tastiest airline food I have ever eaten.
948,I would like to see a third wine choice.. a sweet wine for guests who do not drink reds or Chardonnay.
949,"What a great idea to preorder, this way you get something that you can eat."
950,"You should serve some snacks, chips or nuts."
951,"If I had not asked the flight attendant for my Tapas box, I would not have received it. Seems kind of silly to have people order food in advance, associate that order with their seat number, and then not offer the passenger the pre-ordered food unless they ask for it. This should be automatic."
952,I think they should allow people to use their credit cards to purchase alcohol beverages on board without having to store the credit card in the app.
953,Great coffee.
954,Nice to have vegetarian options.
955,I did order wine before the flight.
956,Burger was bad…not sure how a burger could taste that way. Took 2 small bites and could not eat anymore.
957,I only had the pretzels.
958,Salad was brown and inedible.
959,Refund my additional payment for Economy Plus!. You failed to deliver an exceptional service.
960,Nothing was provided.
961,Please continue to offer the chili.
962,The chicken was very dry. But since this was a morning flight I wish they would offer more breakfast or lunch items and not heavy dinner type meals.
963,Complimentary soft drinks not offered. No snack pretzels.
964,I would like to see better snacks like chips.
965,I was not offered a snack of any kind on this flight. Just a drink.
966,Desserts are awesome!. Chocolate chip tartlette is amazing!. Please never let that item go. And caramel wafer cookies are also delicious.
967,Try to up your vegan game including vegan desserts.
968,The food was really good and such a surprise!.
969,Just needed water at times. Few runs from flight attendants seemed. Every 2 hours should be offer for water.
970,It would be nice if you offer at least one kind of local beer ( Departure Country ).
971,When did you stop providing an alcoholic beverage to comfort plus customers?.
972,"water, no ice. No longer any snacks served."
973,I would add LACTOSE FREE (for lactose intolerance people).
974,My dish had shredded cheese wgich should have neen melted in my opinion. It was not. The meal did not seem to have been heated at all.
975,Even a bag of pretzels would of been nice.
976,"I ate at DIA so did not eat on the plane. Cocktails were, well, cocktails!."
977,No.
978,No.
979,"Please offer more vegetarian or healthy options - plant based entrees, oat milk, overnight oats (as an alternative to yogurt) - the usual breakfast choice of French toast or eggs is not a good one."
980,You’re good.
981,This was a terrible terrible experience.
982,"The pesto cracker things were good. Thai green curry chicken was surprisingly good for airplane food. It looked like they had more than one kind of sandwich but they were kind of just tossing them to people, and we had to ask for them. It was decent."
983,All was great and tasty.
984,Thank You.
985,There were not options.
986,I was surprised there were no snacks.
987,Only water available. No other drinks and no snacks of any kind.
988,I love the flavored seltzer water called Aha.
989,We were told only one snack - that is all that is allowed gratis With the choice of only pretzels or the cookies it is bare bones!.
990,"I know it was only a one hour flight, but 1st Class should at least be offered at least a snack, even if only pre-packaged."
991,United would do well to serve some small snack (like the competitors) with the complimentary drinks.
992,Not enough water was served.
993,I have had better meals. The supper was just okay. The breakfast was really light. A little more for breakfast would have been nice.
994,No complimentary snack was made available.
995,"The main chicken course was delicious, tasty. just the portion was too small. I was truly surprised since it has been a long time since a meal selection was actually tasty. Pleasant surprise. Now execute on other flights because the outbound Denver London dinner meal was gross."
996,The lunch and snacks were great.
997,We paid for premium seats ( (Step below first class) - Delta provides free drinks & upgraded snacks - All United gives is extra legroom.
998,Too short of a flight for service.
999,Excelente.
1000,The breakfast was poor.
1001,"The breakfest could have more options, because sometimes people are in a comnection and do not have time to eat between."
1002,I actually had a snack box on the flight as well as a cocktail and was happy to discover that as a 1K member that snack boxes and drinks are free if you are in economy plus. I did not know that. The flight attendants were great serving me.
1003,Food was ok. It could be better.
1004,no.
1005,"I felt the price points on all of the food offered was reasonable. If there had been a kids snack box offered, even if you had to pre-order it, I may have gotten it (Uncrustables sandwich, applesauce pouch, snack pack of cookies, red licorice). My kids decided to order the Recline box but some of the items were too spicy, but they liked the salami and crackers and the cheese spread (was their reason for ordering the box)."
1006,Well done United Airlines.
1007,"Was first class, was a chicken pasta meal that was served cold should be hot, it no way to serve meal hot, then just serve a sandwich or salad that should be served cold, pretty simple can not heat it do not serve it, serve what should be cold."
1008,"Would be nice to have a slightly healthier/substantial option- we have cookies or waffle cookie- something like nuts, pretzels or a small granola bar would be great!."
1009,Other.
1010,"The lunch entree was much too salty for my taste. The dessert was overly sweet. Both seemed to be lesser quality, with salt and sugar used to artificially enhance flavor."
1011,Provide a hearty snack. It is difficult for old folks to do all this online including choosing our meals. Sister did not have the mobility to go outside and purchase food before her flight. She was not comfortable buying food once inside of the airplane.
1012,Fresh brewed coffee was actually good.
1013,Could give bigger bag or 2 per person.
1014,was not offered the choice to purchase food. Flight attendants only came by quickly to get trash but you could not even get there attention to give it to them.
1015,"running low on ice and ginger ale when got to me, so I only got 1/2 a cup."
1016,food quality and selection not up to pre-covid standards.
1017,Love the stroopwaffles.
1018,"Short flight, no food or beverage served."
1019,"Meal was tasty, hot not over cooked."
1020,"Taste was Nasty, chicken with quinoa."
1021,Dinner was fine;. breakfast was a leather egg.
1022,Real Milk.
1023,No tea o decafcoffe.
1024,I sat in business class my wife were in economy class food was average comparing with Qatar emirates n Turkish n etihad it was no competition economy no food was offered they must start providing food in economy we did not even know there were food suppose to order by paying they must ask n give the menus to purchase food.
1025,I prefer pretzels. there were none available on this flight.
1026,I realize it is awkward for the flight attendants to enforce. I think there should have been a limit on the alcohol served to my inebriated neighbor.
1027,2 snack choices?. Try Delta's.
1028,Everything was delicious.
1029,Was offered a drink with dinner which was great then a little tiny bottle of water just once. Check out Singapore Air they do it right. Constantly walking and asking what can they get you and not pooping it into tiny cups.
1030,"I did not get to chose my breakfast prior top the flight. That being said, I was in first class and was in row four, by the time the attendant got to me I was informed that their was only one meal option available as the other option (scrambled eggs) was depleted. In my opinion, THIS IS NOT FIRST CLASS VALUE. Granted I do not like eggs so in the end I was not too upset but the fact that the other option was depleted by the time the fourth row was served makes me question the value of paying for a first class ticket."
1031,There were none.
1032,"I loved the sparkling wine they offered me as soon as I boarded, instead of just a box of water."
1033,"Unfortunately, no meal on a 5 hour flight unless purchased. Other airlines offer meal choices at no fee."
1034,No.
1035,Long flight from Newark to Denver at 730 am no offer of snack only beverages.
1036,Limited.
1037,I am not satisfied with the new limit of one alcoholic drink per person. It imposes an extra burden on the flight attendants and would seem to me to lower your income. Two seems a reasonable limit.
1038,More choices.
1039,it would be nice to go back to pretzels or peanuts. i was starving. my fault i know to board hungry.
1040,From boarding till landing customers are inside the aircraft approximately 8 hours. Do not you think you have to serve more substantial food than just a snack? !!!.
1041,It was all good <👍🏼>.
1042,Southwest offers pretzels now .... peanuts are FAR better.
1043,More food options.
1044,No.
1045,It would have been nice to have a small snack.
1046,"The snack sandwich was poor tasting, very little ham & cheese on a tasteless bun. Surely you can do better!."
1047,Love sparkling water and it was available on all flights.
1048,"I love pasta with tomate souce, without cheese. Milk, no coffee, only milk, or hot chocolate."
1049,We were skipped with the breakfast service. We had to ask for breakfast.
1050,There were two California Sauvignon Blanc - could have mixed it up better!. No European whites at all.
1051,"Would love to see more food options, small water bottles (instead of water poured from a larger bottle), pretzels with salt, Pepsi products and more boxed meal options. Thank you!."
1052,"Not enough water served during the flight. At the beginning, I asked the flight attendant for two bottles of the water. she made a face."
1053,Great selection.
1054,not a big list of food to choose from.
1055,Would be nice if united had signature cocktails on this flight.
1056,No.
1057,"I would like to know if the entrees were dairy free. If not, no problem. I can eat the roll snd drink done juice. It is frustrating not to know. The steward was so nice. we agreed not worth taking a chance on getting sick."
1058,"The food was too much spicy, very too hot for me."
1059,"Comparing the food and wine selection in Polaris against other Star Alliance carriers, this was disappointing."
1060,Finally a decent meal in first class after two years of bad stuff.
1061,Why do airlines charge for everything?.
1062,Dinner was okay but should have been Italian. Breakfast was less than satisfing. Scrambled eggs would have been better or even a bagel and cream cheese instead of yogurt.
1063,"although flying has been pleasant, it is always nice to receive a beverage on my flight. there was not an offer of a beverage on this flight (to and fro). it was a bit disappointing. i personally feel that all flights should offer a beverage of some sort. thank you."
1064,There was no snack like a bag of pretzels or the like.
1065,Yes.
1066,I did not partake of the beverage & food service on this flight because of the flight's short duration. This form would have been better designed if the first question had a “not applicable” option so I could skip all the rest of this nonsense.
1067,If pretzels get any smaller we will need a magnifying glass to find them. Also on a 3.5 hour flight a full can of soda is not unreasonable to expect.
1068,Would have been nicer to have local beverages.
1069,Ice for drinks.
1070,No.
1071,The roll was too dry.
1072,No.
1073,More choices of hot food would be better.
1074,A continental breakfast usually has a muffin or croissant. This continental only had fruit and yoghurt. Pretty sketchy for a continental. Not the full meal. Other meals were not appetizing to me. Tried eggs/potatoes on flight IAD to SFO. Not appetizing. Glad club food has improved. Saved the day.
1075,light snacks would have been ideal.
1076,please serve the tea hot !. not lukewarm.
1077,Can you serve green tea also instead of just black tea?. Otherwise the food was good for both the meal and the warm cheese snack. It was good.
1078,Please offer a fish option.
1079,"As discussed previously on this feedback. JHB-Newark. Newark-LOndon(my daughter). The only option was curry. We personally do not eat curry and would prefer a simple meal of chicken,vegetables and rice."
1080,More of a snack maybe 2 When covid bags were handed out with snack and water very nice!.
1081,We were not offered a snack only a beverage. I would like to know what the criteria is for offering a snack.
1082,Coffee was terrific.
1083,The chicken and spinach dish in business class was terrible.
1084,No snacks.
1085,"flying 1st clas, i was ""hoping"" a better selections of snacks or even food (sandwich?). being offered, but none at all!."
1086,Pretty typical across airlines.
1087,no beverage service.
1088,There was no ice on the flight.
1089,"The food was delicious!. My husband and I actually FINISHED our food for the first time on United. (We flown four round trip first class to Narita via Houston, LAX and SFO thus far this year and DID NOT like our food on the international flights to Asia). As a matter of fact, we purchased our own food prior to boarding our NRT flight on the last two trip. We will be going from IAH to NRT again on Oct. 4th and WILL PURCHASE food @ local restaurants to bring on board for our international flight from IAH to NRT even though we are in business class. (International food service on EVA and Singapore airlines are excellent as compared to United). With those two airlines, we know we will be able to eat their food and will not need to bring our own). EVA air actually have hamburgers with fries as a snack item in business class."
1090,soda (Coke) was flat.
1091,I wondered why the airline was no longer providing complimentary snacks. Its a silly little extra but for the price of an airline ticket it somehow made it seem like a nice perk.
1092,I appreciate that you still offer free water and snacks.
1093,No.
1094,For snacks there was only the option of a turkey cheese sandwich. No vegetarian option was provided.
1095,Chicken pieces included gristle.
1096,"I really liked the hot chocolate chip mini muffin for dessert. I asked my flight attendant if I could have another one of those. She said, ""let me see what I can do"" To my surprise. she came back with a freshly heated mini chocolate chip muffin. I loved the service of my flight attendant."
1097,I did not take any of the snacks .
1098,You should offer Dr. Pepper diet/zero and Mt Dew diet/zero.
1099,The vegetarian couscous dish was good prior to arrival. I think that the presentation and side dishes as well as in-flight snacks should be a bit better quality to compete with other airlines.
1100,Would have appreciated a snack. Luckily I had “emergency cookies” with me.
1101,"The complimentary snacks were slightly for substantial. the beer selection was of fresh, local offerings."
1102,was not asked for my meal preferences in advance on this flight as I was the flight going over. Inconsistent w processes leaving and returning to IAH.
1103,It would be nice to have regular service but maybe flight time too short?. Maybe pretzels or cookies too ?.
1104,"Attendant missed our row for the second round of drinks and being is so close to landing, I did not bother to make a big deal out of it. Just not feeling good when we were skipped."
1105,No.
1106,I liked the direct flight from IAD to AMM.
1107,The food was better Chicago to Frankfurt.
1108,Todo bien.
1109,"I was in Business Class. food was fine, but not nearly as good as in Business Class on Singapore Air."
1110,The yogurt and fruit with the waffle breakfast is a nice touch.
1111,"Most people who did not pre order, did not have food they wanted. Some had to settle for a snack box."
1112,"I remain disappointed that United does not offer economy passengers a free snack as American, Southwest, and Delta do."
1113,The white wine offered was not tasty. Something was off in its taste. The pretzel sandwich that was offered prior to landing was high in calories/greasy/ and no other option was available nor offered.
1114,Bring sprite zero or no sugar sprite back. It is good as a mixer and also has no caffeine.
1115,It was served efficiently. cabin crew attended very quickly to any requests i made.
1116,"Before arrival there was a snack/breakfast cold, would be better to have a hot sandwich or egg."
1117,It was great - flavorful and what I expected.
1118,I liked the old days when there was some food served even in the cheap seats. On the Dinner flight from Kona to SF there was nothing even to buy except a snack box.
1119,Chicken Katsu served cold. Unappetizing. Wish there were Mai Tai options to from Hawaii. Way behind the service levels (food quality) of Hawaiian and Alaska Airlines.
1120,Temperature of hot food was fine. Temperature of roll and butter was too cold. Food was better with other airlines we know.
1121,"Small portion for a long flight. Would like to at least get two items instead of only one. For example, pretzels and cookie."
1122,It was a short flight so only quick beverages were served and no snacks.
1123,Drinks had no ice and tasted bad. Never got out cookie that we always get.
1124,The item selection was good in the box. some the packaging was difficult to open.
1125,On flights where you sell fresh food please include the cheese tray on morning flights!.
1126,"Meal, snacks and dessert options need a refresh. They are rather basic and unappealing. Food offered in the Polaris lounge is ahead of the rest, but onboard food is quite the opposite of that experience."
1127,None.
1128,As a 1K customer the service has really declined. I think this needs to change for your loyal customers.
1129,Loved having a vegan meal option from honolulu to San Francisco <😋>.
1130,Should offer more water on planes.
1131,"I wish there were more food options besides just the snack boxes. If there had been some real food options, such as a sandwich or salad, I would have been more inclined to purchase a food item."
1132,Wonderful.
1133,No Tito's Vodka. Tito's is the best.
1134,Free messaging has been a no go the last two flights just wondering if it is just me.
1135,Offer more food options even to pay for it.
1136,It is fortunate that you get to your destination safely but it is all about cutting out small things to save money.
1137,"You serve Bailey's. Delta stopped serving Bailey's. Great meal but no snacks in between (ie, chips, cookies.... unless i was asleep and missed them)."
1138,Small portions and not enough food for dinner and breakfast.
1139,There were very limited food options available on board -.
1140,It was great to have a snack from Seattle to Denver. There was NOT a snack offered going from Denver to Seattle.
1141,No.
1142,"We had cheese, fruit and an IPA beer All served at a good temperature and with clean utensils/glasswear."
1143,Need to have more choices. I did receive an email about pre-ordering but I defiantly did not like those choices so I took a chance that there was something different. I took the one I would thought I like. It was so so.
1144,"All your representatives were very polite and pleasant, with the exception of one server who blatantly ignored me when asking all others of their choices. I say blatant as there is no way he could have thought he did as he did not address me at all. When I said hello to get his attention he ignored me, and when I touched his arm he looked around at me and I had to tell him without his asking me, what I would like. He did not apologize, he just handed it to me and moved on. I am a BLACK woman. he was white. That left a bad taste in my mouth as, not only is it wrong..... I have never in my 60yrs encountered such a behavior. Sorry my 1st experience was on your airline. Flight 2162 from Orlando to EWR 5:pm."
1145,Would be nice if they gave you a mini bag of pretzels to go w/ the free bevy.
1146,"not really, i am a poor eater."
1147,No.
1148,The food selections were the same on this flight as I had had on the flight the week before. The little hot chocolate chip cookie was amazing.
1149,Overall edible.
1150,I enjoyed the food very much. Well done.
1151,Either offer meals on every long flight ahead of time. Take the waffle offering OFF the list.
1152,Going back to give Sandwiches will be better.
1153,It would be nice to have a gluten free snack choice that is complimentary.
1154,Overall there is less and less of snack offered these days.
1155,Glad to see United Chefs using various spices in their dinners.
1156,"Even though it was a short flight. no snack was offered in first class. I asked for pretzels. 1 tiny bag was provided. Very Happy with the Buffalo Trace bourbon, but no Tequila available."
1157,Allow more options for allergy sensitive people.
1158,The breakfast was not ok.
1159,No guarana was offered!.
1160,"All is good , just focus on technological progress and research !. Water is just fine !."
1161,I could not purchase food with cash or card which was inconvenient since I did not have the app and did not know how to get it!.
1162,Was in first class did not get a drink prior to takeoff and only one drink during the flight while other passengers got refills.
1163,As a 1K was not able to get the meal I wanted they ran out.
1164,No.
1165,We asked a sorbet but it had already been defrosted and frozen again. …Not very safe!.
1166,None.
1167,Other people seemed to enjoy the beverages.
1168,No.
1169,Aeroplane food sucks. But I am not sure how to fix it [food]. I suspect you are doing your best.
1170,"There is inconsistency in first class service. Sometimes we are offered a pre-take off cocktail, other times a choice of two drinks (like water or mimosa for example), and other times, only water. in my opinion, there should always be a pre-takeoff cocktail because the boarding process takes a long time. we have paid for premium service."
1171,I would like hot food options for purchase.
1172,The chicken and impossible meat balls get old when you are a frequent flier. Most crews do not offer a box. Rarely an attendant with all but the entree— I think that is great!.
1173,"This flight is so short, I have to wonder why it is necessary to have a food service. I would be fine with NO food service on short flights that are small. Just my take."
1174,Love Mr & Mrs T's Bloody Mary mix.
1175,"Increase the snack variety, like peanut or almonds. Include beer and wine as complementary options."
1176,"need something to snack on, for some reason we did not get this."
1177,Great.
1178,It is nice when they give you a small snack. not both flights gave a snack.
1179,Good del toon from Ewr to Cancun was not very good.
1180,The food was fine but not particularly good. the sandwich served before landing was not at all appealing - again expect a little more on a 9 hour flight. However the flight attendants were great about coming around with water - they did not do that on my outbound flight.
1181,More selection.
1182,It was a 4 1/2 hour flight. we were offered no snack.
1183,Tiny snack would be appreciated.
1184,Disappointed with food offerings.
1185,I thought the food was not the best. My hamburger bun was very hard. Probably over heated. On my flight to Greece your food was excellent.
1186,The food was surprisingly good.
1187,I wished you provided the same offer to order in advance on my return trip to Newark.
1188,"For the first time in a very long time I had a meal as they have been inedible over the last several years. The scrambled eggs were delicious. Although it was not available on this flight, I love the idea of pre-ordering the meal."
1189,Want cheese & crackers & protein for snacks.
1190,Give a snack dessert thing first ( 9:30 at night). And give a better breakfast in am.
1191,"Would have preferred small bottle of water to glass, because timing is easier. Personally hate Stroopwaffles. Pretzels are fine."
1192,No snack was provided.
1193,No.
1194,It really would be great if you went back to the pre-COVID separation of courses. I am consistently finding that the entree is cold by the time I am done eating my appetizer.
1195,"First leg of flight did not even offer pretzels or peanuts. Second leg did not offer sugar free, caffeine free soda or gluten free snack."
1196,First I was happy to get a meal. Thank you. All in all the food was good. My only concern was the chicken was somewhat dry and tasteless. Thought you would want to know. Other than that it was very good. Thank you for the wonderful service!!!.
1197,Chicken curry was so good.
1198,No.
1199,"I am not a strict vegetarian, but I no longer ask for vegetarian meals because United lazily serves a very disappointing, bland and stale vegan meal instead. Clearly the difference between vegetarian and vegan is not yet understood. I miss out on the delicious ice cream whenever I order vegetarian. Also, I tried to reserve a vegetarian meal for my girlfriend (who is a strict vegetarian) but it kept glitching and no matter how many times I tried, it refused to save the request for this past flight."
1200,more selection please….
1201,I wish that there were a prompt for a vegan option upon ordering the ticket. I have went through my first flight without food since I did not know I should ask for a vegan option in advance.
1202,Everything is excelent.
1203,I have not flown United in a while and was pleased that an IPA was available on board. It is my favorite style.
1204,No.
1205,more variety would help a whole lot.
1206,It would be nice to have nuts for a snack —something healthy.
1207,My grandson and I both loved the burger and the salad selection on the menu. We ordered seconds since we shared. Very tasty.
1208,Nasty tasting wine. Very bitter.
1209,"Ran out of the non-vegetarian option, was quite disappointed."
1210,I would like to see more choices regarding snacks for purchase.
1211,No.
1212,More food.
1213,Very satisfying.
1214,I was pleased with the pasta offering.
